Date,Type,Produit,Quantite,Categorie,Motif,Utilisateur
2026-06-17,Sortie,Multiprise 6 prises,4,Electricite,Transfert agence,chahd
2026-06-17,Sortie,Onduleur APC,17,Electricite,Transfert agence,chahd
2026-06-18,Sortie,Classeur A4,15,Bureautique,Livraison client,admin
2026-06-18,Sortie,Disque dur externe 1To,18,Informatique,Casse/Perte,admin
2026-06-18,Sortie,Onduleur APC,20,Electricite,Casse/Perte,admin
2026-06-19,Sortie,Chaise de bureau,24,Mobilier,Transfert agence,admin
2026-06-19,Entrée,Onduleur APC,21,Electricite,Vente,admin
2026-06-19,Sortie,Bureau ajustable,8,Mobilier,Utilisation interne,admin
2026-06-19,Entrée,Cable HDMI 2m,9,Informatique,Vente,admin
2026-06-19,Entrée,Bureau ajustable,5,Mobilier,Réapprovisionnement,admin
2026-06-19,Sortie,Clavier mécanique HP,3,Informatique,Transfert agence,admin
2026-06-20,Entrée,Chaise de bureau,7,Mobilier,Livraison client,admin
2026-06-20,Sortie,Onduleur APC,23,Electricite,Vente,admin
2026-06-20,Sortie,Onduleur APC,16,Electricite,Vente,admin
2026-06-20,Sortie,Imprimante Canon,14,Bureautique,Casse/Perte,admin
2026-06-20,Sortie,Bureau ajustable,8,Mobilier,Transfert agence,chahd
2026-06-20,Sortie,Stylo bille Bic (boite),13,Bureautique,Utilisation interne,admin
2026-06-21,Entrée,Cable HDMI 2m,15,Informatique,Réapprovisionnement,admin
2026-06-21,Entrée,Bureau ajustable,13,Mobilier,Utilisation interne,admin
2026-06-21,Entrée,Ordinateur portable Dell,14,Informatique,Réapprovisionnement,admin
2026-06-21,Entrée,Clavier mécanique HP,13,Informatique,Vente,chahd
2026-06-21,Entrée,Ramette papier A4,13,Bureautique,Vente,admin
2026-06-22,Sortie,Imprimante Canon,16,Bureautique,Vente,admin
2026-06-22,Sortie,Ordinateur portable Dell,12,Informatique,Livraison client,admin
2026-06-22,Sortie,Onduleur APC,2,Electricite,Vente,admin
2026-06-22,Sortie,Ecran 24 pouces Samsung,20,Informatique,Livraison client,chahd
2026-06-22,Sortie,Chaise de bureau,19,Mobilier,Livraison client,admin
2026-06-23,Entrée,Onduleur APC,20,Electricite,Utilisation interne,admin
2026-06-23,Entrée,Cable HDMI 2m,6,Informatique,Vente,chahd
2026-06-23,Sortie,Ordinateur portable Dell,19,Informatique,Transfert agence,admin
2026-06-23,Entrée,Cable HDMI 2m,19,Informatique,Retour fournisseur,admin
2026-06-24,Sortie,Souris sans fil Logitech,10,Informatique,Casse/Perte,admin
2026-06-24,Sortie,Onduleur APC,2,Electricite,Utilisation interne,admin
2026-06-24,Entrée,Disque dur externe 1To,17,Informatique,Retour fournisseur,admin
2026-06-25,Sortie,Multiprise 6 prises,14,Electricite,Utilisation interne,admin
2026-06-25,Sortie,Multiprise 6 prises,5,Electricite,Transfert agence,chahd
2026-06-25,Sortie,Bureau ajustable,9,Mobilier,Casse/Perte,admin
2026-06-25,Sortie,Bureau ajustable,15,Mobilier,Transfert agence,admin
2026-06-25,Entrée,Casque audio Sony,8,Informatique,Achat fournisseur,chahd
2026-06-26,Sortie,Ecran 24 pouces Samsung,19,Informatique,Casse/Perte,admin
2026-06-26,Entrée,Ramette papier A4,11,Bureautique,Réapprovisionnement,admin
2026-06-26,Sortie,Ramette papier A4,11,Bureautique,Utilisation interne,admin
2026-06-26,Sortie,Cable HDMI 2m,18,Informatique,Vente,admin
2026-06-26,Entrée,Ecran 24 pouces Samsung,24,Informatique,Livraison client,admin
2026-06-27,Sortie,Cable HDMI 2m,23,Informatique,Transfert agence,admin
2026-06-27,Entrée,Ordinateur portable Dell,8,Informatique,Livraison client,admin
2026-06-27,Sortie,Imprimante Canon,12,Bureautique,Transfert agence,admin
2026-06-28,Sortie,Stylo bille Bic (boite),18,Bureautique,Utilisation interne,admin
2026-06-28,Entrée,Chaise de bureau,9,Mobilier,Réapprovisionnement,chahd
2026-06-28,Entrée,Ecran 24 pouces Samsung,24,Informatique,Utilisation interne,admin
2026-06-28,Entrée,Cable HDMI 2m,7,Informatique,Retour fournisseur,admin
2026-06-29,Sortie,Onduleur APC,10,Electricite,Vente,admin
2026-06-29,Entrée,Imprimante Canon,6,Bureautique,Vente,chahd
2026-06-29,Entrée,Bureau ajustable,2,Mobilier,Achat fournisseur,admin
2026-06-29,Sortie,Cable HDMI 2m,21,Informatique,Transfert agence,chahd
2026-06-29,Sortie,Ordinateur portable Dell,16,Informatique,Transfert agence,admin
2026-06-29,Sortie,Clavier mécanique HP,9,Informatique,Transfert agence,chahd
2026-06-30,Sortie,Stylo bille Bic (boite),19,Bureautique,Vente,chahd
2026-06-30,Sortie,Onduleur APC,10,Electricite,Vente,admin
2026-07-01,Sortie,Bureau ajustable,20,Mobilier,Casse/Perte,admin
2026-07-01,Sortie,Ecran 24 pouces Samsung,13,Informatique,Transfert agence,admin
2026-07-02,Sortie,Multiprise 6 prises,14,Electricite,Utilisation interne,admin
2026-07-02,Sortie,Ordinateur portable Dell,24,Informatique,Vente,admin
2026-07-02,Sortie,Ecran 24 pouces Samsung,9,Informatique,Vente,chahd
2026-07-02,Sortie,Clavier mécanique HP,6,Informatique,Vente,admin
2026-07-03,Entrée,Chaise de bureau,8,Mobilier,Vente,admin
2026-07-03,Sortie,Cable HDMI 2m,3,Informatique,Livraison client,admin
2026-07-03,Sortie,Onduleur APC,19,Electricite,Livraison client,admin
2026-07-03,Entrée,Bureau ajustable,5,Mobilier,Vente,admin
2026-07-03,Entrée,Souris sans fil Logitech,10,Informatique,Utilisation interne,admin
2026-07-03,Sortie,Casque audio Sony,15,Informatique,Vente,admin
2026-07-04,Entrée,Cable HDMI 2m,9,Informatique,Utilisation interne,admin
2026-07-04,Entrée,Chaise de bureau,2,Mobilier,Livraison client,admin
2026-07-04,Entrée,Casque audio Sony,3,Informatique,Réapprovisionnement,admin
2026-07-04,Sortie,Multiprise 6 prises,19,Electricite,Vente,admin
2026-07-05,Entrée,Casque audio Sony,25,Informatique,Réapprovisionnement,admin
2026-07-05,Entrée,Disque dur externe 1To,9,Informatique,Réapprovisionnement,admin
2026-07-05,Sortie,Stylo bille Bic (boite),16,Bureautique,Vente,admin
2026-07-05,Entrée,Stylo bille Bic (boite),22,Bureautique,Achat fournisseur,admin
2026-09-16,Entrée,Casque audio Sony,1,Informatique,Transfert agence,chahd
2026-09-16,Sortie,Ordinateur portable Dell,21,Informatique,Vente,chahd
2026-09-17,Entrée,Ordinateur portable Dell,2,Informatique,Vente,chahd
2026-09-17,Sortie,Ordinateur portable Dell,2,Informatique,Vente,chahd
